"filename", "language", "PHP", "Markdown", "JSON", "comment", "blank", "total"
"d:\AppData\Apache\local\phpend\api\v1\README.md", "Markdown", 0, 3, 0, 0, 4, 7
"d:\AppData\Apache\local\phpend\api\v1\api\api.php", "PHP", 10, 0, 0, 11, 6, 27
"d:\AppData\Apache\local\phpend\api\v1\api\backend.php", "PHP", 4, 0, 0, 0, 2, 6
"d:\AppData\Apache\local\phpend\api\v1\api\config.php", "PHP", 2, 0, 0, 6, 3, 11
"d:\AppData\Apache\local\phpend\api\v1\api\datalayer.php", "PHP", 4, 0, 0, 10, 4, 18
"d:\AppData\Apache\local\phpend\api\v1\api\handlers.php", "PHP", 12, 0, 0, 34, 7, 53
"d:\AppData\Apache\local\phpend\api\v1\composer.json", "JSON", 0, 0, 7, 0, 1, 8
"d:\AppData\Apache\local\phpend\api\v1\composer.lock", "JSON", 0, 0, 279, 0, 1, 280
"d:\AppData\Apache\local\phpend\api\v1\config-local.php", "PHP", 10, 0, 0, 36, 11, 57
"d:\AppData\Apache\local\phpend\api\v1\devnotes.md", "Markdown", 0, 77, 0, 0, 32, 109
"d:\AppData\Apache\local\phpend\api\v1\include\api.php", "PHP", 46, 0, 0, 39, 41, 126
"d:\AppData\Apache\local\phpend\api\v1\include\auth.php", "PHP", 116, 0, 0, 42, 39, 197
"d:\AppData\Apache\local\phpend\api\v1\include\backend.php", "PHP", 87, 0, 0, 82, 17, 186
"d:\AppData\Apache\local\phpend\api\v1\include\datalayer.php", "PHP", 265, 0, 0, 231, 71, 567
"d:\AppData\Apache\local\phpend\api\v1\include\error.php", "PHP", 30, 0, 0, 18, 14, 62
"d:\AppData\Apache\local\phpend\api\v1\include\guard.php", "PHP", 46, 0, 0, 33, 26, 105
"d:\AppData\Apache\local\phpend\api\v1\include\handlers.php", "PHP", 207, 0, 0, 198, 80, 485
"d:\AppData\Apache\local\phpend\api\v1\include\util.php", "PHP", 65, 0, 0, 42, 25, 132
"d:\AppData\Apache\local\phpend\api\v1\index.php", "PHP", 77, 0, 0, 13, 36, 126
"d:\AppData\Apache\local\phpend\api\v1\vendor\autoload.php", "PHP", 20, 0, 0, 1, 5, 26
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\ClassLoader.php", "PHP", 286, 0, 0, 235, 59, 580
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\InstalledVersions.php", "PHP", 178, 0, 0, 133, 49, 360
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\autoload_classmap.php", "PHP", 6, 0, 0, 1, 4, 11
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\autoload_files.php", "PHP", 6, 0, 0, 1, 4, 11
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\autoload_namespaces.php", "PHP", 5, 0, 0, 1, 4, 10
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\autoload_psr4.php", "PHP", 9, 0, 0, 1, 4, 14
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\autoload_real.php", "PHP", 35, 0, 0, 4, 12, 51
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\autoload_static.php", "PHP", 49, 0, 0, 1, 9, 59
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\installed.json", "JSON", 0, 0, 276, 0, 1, 277
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\installed.php", "PHP", 59, 0, 0, 0, 1, 60
"d:\AppData\Apache\local\phpend\api\v1\vendor\composer\platform_check.php", "PHP", 21, 0, 0, 1, 5, 27
"d:\AppData\Apache\local\phpend\api\v1\vendor\firebase\php-jwt\CHANGELOG.md", "Markdown", 0, 107, 0, 0, 64, 171
"d:\AppData\Apache\local\phpend\api\v1\vendor\firebase\php-jwt\README.md", "Markdown", 0, 344, 0, 0, 81, 425
"d:\AppData\Apache\local\phpend\api\v1\vendor\firebase\php-jwt\composer.json", "JSON", 0, 0, 42, 0, 1, 43
"d:\AppData\Apache\local\phpend\api\v1\vendor\firebase\php-jwt\src\BeforeValidException.php", "PHP", 14, 0, 0, 0, 5, 19
"d:\AppData\Apache\local\phpend\api\v1\vendor\firebase\php-jwt\src\CachedKeySet.php", "PHP", 165, 0, 0, 72, 32, 269
"d:\AppData\Apache\local\phpend\api\v1\vendor\firebase\php-jwt\src\ExpiredException.php", "PHP", 14, 0, 0, 0, 5, 19
"d:\AppData\Apache\local\phpend\api\v1\vendor\firebase\php-jwt\src\JWK.php", "PHP", 204, 0, 0, 100, 46, 350
"d:\AppData\Apache\local\phpend\api\v1\vendor\firebase\php-jwt\src\JWT.php", "PHP", 383, 0, 0, 232, 55, 670
"d:\AppData\Apache\local\phpend\api\v1\vendor\firebase\php-jwt\src\JWTExceptionWithPayloadInterface.php", "PHP", 7, 0, 0, 11, 3, 21
"d:\AppData\Apache\local\phpend\api\v1\vendor\firebase\php-jwt\src\Key.php", "PHP", 40, 0, 0, 15, 10, 65
"d:\AppData\Apache\local\phpend\api\v1\vendor\firebase\php-jwt\src\SignatureInvalidException.php", "PHP", 5, 0, 0, 0, 3, 8
"d:\AppData\Apache\local\phpend\api\v1\vendor\ganast\jm\src\com\ganast\jm\db\DBPDOHelpers.php", "PHP", 43, 0, 0, 12, 5, 60
"d:\AppData\Apache\local\phpend\api\v1\vendor\ganast\jm\src\com\ganast\jm\exception\CodedErrorException.php", "PHP", 11, 0, 0, 7, 7, 25
"d:\AppData\Apache\local\phpend\api\v1\vendor\ganast\jm\src\com\ganast\jm\exception\InvalidStateException.php", "PHP", 6, 0, 0, 9, 6, 21
"d:\AppData\Apache\local\phpend\api\v1\vendor\ganast\jm\src\com\ganast\jm\http\HTTPHelpers.php", "PHP", 17, 0, 0, 11, 10, 38
"d:\AppData\Apache\local\phpend\api\v1\vendor\ganast\jm\src\com\ganast\jm\http\json\JSONHTTPHelpers.php", "PHP", 10, 0, 0, 7, 6, 23
"d:\AppData\Apache\local\phpend\api\v1\vendor\ganast\jm\src\com\ganast\jm\jwt\JWTHelpers.php", "PHP", 41, 0, 0, 9, 16, 66
"d:\AppData\Apache\local\phpend\api\v1\vendor\ganast\jm\src\com\ganast\jm\mail\MailHelpers.php", "PHP", 34, 0, 0, 4, 11, 49
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\README.md", "Markdown", 0, 235, 0, 0, 83, 318
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\composer.json", "JSON", 0, 0, 56, 0, 1, 57
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\BadRouteException.php", "PHP", 40, 0, 0, 1, 10, 51
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Cache.php", "PHP", 7, 0, 0, 6, 3, 16
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Cache\FileCache.php", "PHP", 79, 0, 0, 8, 27, 114
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Cache\Psr16Cache.php", "PHP", 22, 0, 0, 2, 9, 33
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\ConfigureRoutes.php", "PHP", 19, 0, 0, 81, 14, 114
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\DataGenerator.php", "PHP", 8, 0, 0, 26, 4, 38
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\DataGenerator\CharCountBased.php", "PHP", 28, 0, 0, 2, 9, 39
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\DataGenerator\GroupCountBased.php", "PHP", 29, 0, 0, 2, 9, 40
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\DataGenerator\GroupPosBased.php", "PHP", 25, 0, 0, 2, 8, 35
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\DataGenerator\MarkBased.php", "PHP", 24, 0, 0, 2, 9, 35
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\DataGenerator\RegexBasedAbstract.php", "PHP", 83, 0, 0, 30, 23, 136
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Dispatcher.php", "PHP", 13, 0, 0, 9, 5, 27
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Dispatcher\CharCountBased.php", "PHP", 31, 0, 0, 2, 11, 44
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Dispatcher\GroupCountBased.php", "PHP", 29, 0, 0, 2, 10, 41
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Dispatcher\GroupPosBased.php", "PHP", 31, 0, 0, 4, 12, 47
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Dispatcher\MarkBased.php", "PHP", 28, 0, 0, 2, 10, 40
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Dispatcher\RegexBasedAbstract.php", "PHP", 82, 0, 0, 17, 25, 124
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Dispatcher\Result\Matched.php", "PHP", 35, 0, 0, 13, 10, 58
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Dispatcher\Result\MethodNotAllowed.php", "PHP", 31, 0, 0, 5, 8, 44
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Dispatcher\Result\NotMatched.php", "PHP", 29, 0, 0, 1, 7, 37
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Exception.php", "PHP", 7, 0, 0, 0, 4, 11
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\FastRoute.php", "PHP", 133, 0, 0, 26, 25, 184
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\GenerateUri.php", "PHP", 8, 0, 0, 10, 4, 22
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\GenerateUri\FromProcessedConfiguration.php", "PHP", 63, 0, 0, 20, 22, 105
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\GenerateUri\UriCouldNotBeGenerated.php", "PHP", 43, 0, 0, 4, 7, 54
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Route.php", "PHP", 39, 0, 0, 19, 13, 71
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\RouteCollector.php", "PHP", 89, 0, 0, 26, 25, 140
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\RouteParser.php", "PHP", 7, 0, 0, 33, 3, 43
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\RouteParser\Std.php", "PHP", 106, 0, 0, 18, 29, 153
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\functions.php", "PHP", 47, 0, 0, 17, 15, 79
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\README.md", "Markdown", 0, 168, 0, 0, 64, 232
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\SECURITY.md", "Markdown", 0, 19, 0, 0, 19, 38
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\composer.json", "JSON", 0, 0, 80, 0, 1, 81
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\get_oauth_token.php", "PHP", 117, 0, 0, 48, 18, 183
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-af.php", "PHP", 20, 0, 0, 4, 3, 27
